DISTRICTE;CODI_ILLA;SECC_CENS;BARRI;NOM_DISTRICTE;NOM_BARRI;AEB;HABITANTS;NUM_PARC;NUM_LOCALS;NUM_VIVENDES;NUM_PARKINGS;NUM_ALTRES;SUP_CONS;SUP_SOBRE_RASANT;SUP_SOTA_RASANT;SUP_LOCALS;SUP_SERVEIS;SUP_SOL;DATA_DADES
03;22777;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;0;0;0;0;0;0;0;0;0;1768;15/04/15
03;22780;024;11;Sants-Montjuic;el Poble Sec;059;0;3;19;0;0;19;22112;22112;0;22112;0;210345;15/04/15
03;22811;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;0;0;0;0;0;0;0;0;0;0;0;15/04/15
03;22821;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;1;0;0;1;281;281;0;281;0;5909;15/04/15
03;22822;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;4;0;0;0;0;0;0;0;0;0;5908;15/04/15
03;22823;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;0;0;0;0;0;0;0;0;0;0;0;15/04/15
03;22824;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;1;0;0;1;21;21;0;21;0;21;15/04/15
03;22825;??;??;Sants-Montjuic;??;??;0;0;0;0;0;0;0;0;0;0;0;0;15/04/15
03;22826;??;??;Sants-Montjuic;??;??;0;0;0;0;0;0;0;0;0;0;0;0;15/04/15
03;22827;??;??;Sants-Montjuic;??;??;0;0;0;0;0;0;0;0;0;0;0;0;15/04/15
03;22831;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;0;0;0;0;0;0;0;0;0;12662;15/04/15
03;22832;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;8;22;0;0;22;19670;19670;0;19670;0;47068;15/04/15
03;22840;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;4;11;0;0;11;22010;22010;0;22010;0;31952;15/04/15
03;22850;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;7;62;0;1;61;83830;73080;10750;75579;8251;39416;15/04/15
03;22860;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;1;7;16;0;0;16;29887;29887;0;29887;0;39141;15/04/15
03;22870;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;4;24;0;0;24;24919;24919;0;24919;0;44492;15/04/15
03;22880;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;4;14;0;0;14;9587;9587;0;9587;0;39136;15/04/15
03;22893;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;1;0;0;1;30;30;0;30;0;7020;15/04/15
03;22904;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;11;116;0;1;115;56338;56338;0;3788390;0;1674601;15/04/15
03;22912;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;1;1;0;0;1;0;0;0;22116;0;22116;15/04/15
03;22918;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;19;110;0;1;109;255728;249991;5737;945305;0;689105;15/04/15
03;22919;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;27;250;0;28;222;2231074;1468800;762274;3100949;59376;2131559;15/04/15
03;22990;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;5;12;0;0;12;22578;21704;874;22578;0;144405;15/04/15
03;23011;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;2;11;0;0;11;5710;5710;0;5710;0;20000;15/04/15
03;23012;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;2;22;0;0;22;60522;60522;0;60522;0;96844;15/04/15
03;23020;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;1;15;59;0;2;57;65682;63592;2090;65682;0;348375;15/04/15
03;23030;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;6;46;0;1;45;43556;43556;0;43556;0;66402;15/04/15
03;23040;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;11;62;0;0;62;66781;66781;0;66781;0;96920;15/04/15
03;23050;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;14;51;0;0;51;76804;76804;0;76804;0;96833;15/04/15
03;23060;025;12;Sants-Montjuic;la Marina del Prat Vermell;060;0;7;53;0;1;52;30726;30726;0;30726;0;96337;15/04/15
